g1.gid,g2.gid,ged,hungarian,vj,beam5,beam10
11,1270,144,198,204,144,144
11,535,32,48,44,32,32
11,943,101,101,101,169,169
11,286,7,7,13,7,7
11,1149,88,146,132,88,88
11,1002,23,55,57,23,23
11,149,24,50,52,24,24
11,941,382,452,452,382,382
11,1039,44,52,44,58,58
11,939,11,11,23,39,39
11,1108,19,57,57,19,19
11,710,83,83,83,151,151
11,415,89,115,115,95,89
11,673,6,24,20,6,6
11,258,19,45,57,19,19
11,1269,409,465,475,409,409
11,497,81,85,83,81,81
11,1017,140,140,140,208,208
11,189,183,183,183,251,251
11,860,101,101,101,169,169
11,609,39,73,75,41,39
11,159,131,169,193,131,131
11,603,426,426,426,494,494
11,281,140,140,140,208,208
11,862,54,60,54,74,74
11,893,41,65,65,41,43
11,109,41,41,41,53,53
11,1161,140,140,140,208,208
11,112,79,93,95,79,79
11,358,22,54,54,22,36
11,874,621,659,653,621,621
11,256,97,107,117,97,97
11,339,6,24,24,6,6
11,45,24,32,34,24,24
11,721,14,28,18,32,14
11,1056,19,57,39,19,19
11,1388,29,57,51,29,29
11,72,69,91,93,69,69
11,683,8,8,22,8,8
11,1145,57,57,67,59,59
11,1400,72,118,120,72,72
11,408,131,169,193,131,131
11,1344,28,52,56,28,28
11,333,47,47,57,49,49
11,196,41,91,85,41,41
11,982,129,173,181,129,129
11,433,63,109,105,63,63
11,1181,120,120,120,188,188
11,25,48,62,60,52,48
11,391,39,45,39,53,53
11,1166,140,140,140,208,208
11,1083,30,30,30,38,38
11,953,28,40,40,28,46
11,1068,83,83,83,151,151
11,882,101,101,101,169,169
11,15,9,23,23,21,9
11,1015,58,58,70,62,70
11,138,40,60,56,42,40
11,508,458,458,458,526,526
11,322,32,34,32,44,34
11,441,27,43,43,27,27
11,1230,79,121,125,79,79
11,48,77,119,123,77,95
11,128,37,47,37,37,37
11,43,183,183,183,251,251
11,75,172,218,224,172,172
11,858,40,74,62,64,40
11,1319,155,161,179,155,155
11,680,68,68,68,118,118
11,240,108,108,110,124,142
11,364,83,83,83,151,151
11,375,32,32,42,32,32
11,282,140,140,140,208,208
11,1043,120,120,120,188,188
11,626,37,59,57,37,37
11,1387,88,146,132,88,88
11,1190,101,101,101,169,169
11,588,37,53,47,43,37
11,894,33,33,35,45,45
11,164,31,39,41,31,31
11,315,140,140,140,208,208
11,639,38,66,66,38,38
11,1059,41,41,41,53,57
11,1426,72,118,124,102,72
11,1283,97,99,117,97,97
11,226,183,183,183,251,251
11,368,134,134,158,140,140
11,554,33,45,45,33,33
11,730,14,46,48,14,14
11,344,83,83,83,151,151
11,460,111,159,159,111,111
11,568,33,51,53,39,33
11,633,123,123,127,163,163
11,1144,51,75,71,51,51
11,728,37,45,47,37,37
11,35,11,19,21,11,11
11,1357,36,78,80,36,36
11,145,24,32,36,24,38
11,1141,68,68,76,100,100
11,455,27,61,59,27,27
11,1430,34,34,40,70,70
11,932,32,42,42,32,32
11,332,75,75,81,113,89
11,179,48,50,48,60,60
11,617,49,71,71,49,49
11,900,395,395,395,463,463
11,98,68,68,68,118,118
11,1349,94,102,94,94,94
11,1138,20,26,28,20,20
11,1048,305,317,331,305,305
11,28,68,68,68,118,118
11,889,68,68,68,118,118
11,1294,83,83,83,151,151
11,1074,105,129,123,105,105
11,436,44,52,50,44,58
11,994,458,458,458,526,526
11,716,486,530,530,486,486
11,806,395,395,395,463,463
11,1499,140,140,140,208,208
11,317,120,164,178,120,120
11,1346,356,384,394,356,356
11,172,24,44,56,24,24
11,397,671,671,671,739,739
11,192,91,111,119,91,91
11,829,101,101,101,169,169
11,40,30,42,46,30,34
11,178,34,44,48,34,34
11,887,891,935,949,891,891
11,81,61,81,85,61,61
11,336,212,224,226,212,212
11,971,458,458,458,526,526
11,158,42,78,76,52,42
11,264,671,671,671,739,739
11,27,671,671,671,739,739
11,76,97,111,121,97,97
11,225,24,70,58,42,24
11,837,31,39,41,31,31
11,153,30,30,36,50,50
11,1225,33,39,45,33,33
11,279,75,75,83,77,77
11,11,0,0,0,0,0
11,681,282,292,300,282,282
11,576,395,395,395,463,463
11,517,10,10,28,14,14
11,302,42,62,64,48,42
11,1165,8,8,22,8,8
11,1248,101,101,101,169,169
11,635,458,458,458,526,526
11,1183,252,328,332,252,252
11,91,57,79,77,57,57
11,1146,120,120,120,188,188
11,1497,34,50,48,34,34
11,916,80,98,96,80,80
11,722,26,52,52,28,26
11,880,101,101,101,169,169
11,682,42,56,60,42,42
11,260,41,47,43,41,41
11,278,111,131,131,111,111
11,1389,40,40,44,62,62
11,117,75,89,81,75,75
11,61,38,62,62,38,38
11,793,48,58,60,48,50
11,709,458,458,458,526,526
11,587,20,32,34,20,20
11,51,48,64,52,48,48
11,1290,107,153,155,107,107
11,432,68,78,74,68,68
11,961,30,32,30,52,52
11,294,16,16,22,46,46
11,111,67,101,99,67,67
11,55,46,88,94,46,46
11,1113,83,83,83,151,151
11,685,584,616,620,584,584
11,348,5,5,5,5,5
11,21,81,109,105,83,81
11,53,134,184,170,134,134
11,842,19,57,51,19,19
11,60,133,169,175,133,133
11,340,671,671,671,739,739
11,371,9,23,23,35,9
11,1363,30,32,30,48,38
11,1258,356,384,394,356,356
11,257,140,140,140,208,208
11,119,197,197,203,199,199
11,1123,120,120,120,188,188
11,693,161,161,171,181,181
11,1281,153,153,165,161,161
11,723,25,25,31,31,31
11,579,6,18,20,6,6
11,946,857,877,889,857,857
11,37,42,42,42,64,64
11,469,157,183,179,157,157
11,1327,42,42,42,52,52
11,367,37,47,45,37,37
11,292,183,183,183,251,251
11,745,83,83,83,151,151
11,753,61,81,79,61,71
11,1061,201,261,269,201,201
11,924,458,458,458,526,526
11,181,21,43,55,21,21
11,173,202,220,232,202,202
11,613,50,52,50,64,52
11,1427,58,118,114,58,58
11,1464,97,107,121,97,97
11,1340,46,50,50,46,46
11,661,35,61,69,35,35
11,748,105,119,119,105,105
11,198,24,56,56,24,24
11,227,24,44,56,24,24
11,537,282,292,300,282,282
11,290,37,59,51,37,37
11,69,46,80,82,46,46
11,654,990,1026,1032,990,990
11,429,78,82,78,122,122
11,951,37,61,53,37,37
11,1375,114,176,168,114,114
11,464,32,50,44,32,32
11,453,121,121,129,127,127
11,610,20,34,44,20,20
11,1139,42,54,42,66,66
11,1080,52,100,98,52,52
11,165,15,23,33,15,15
11,13,47,55,55,47,47
11,775,395,395,395,463,463
11,1331,17,17,19,27,27
11,26,671,671,671,739,739
11,356,146,194,196,146,146
11,414,31,51,61,31,31
11,330,99,155,153,99,99
11,65,61,95,91,61,61
11,905,530,558,564,530,530
11,241,288,366,360,288,288
11,958,39,59,71,39,57
11,470,724,730,730,724,724
11,1370,101,101,101,169,169
11,815,68,68,68,118,118
11,1209,304,346,338,304,304
11,592,93,139,139,93,93
11,68,158,176,180,158,158
11,1086,32,52,50,32,32
11,1472,85,139,139,93,85
11,1237,34,34,40,70,70
11,571,6,22,20,6,6
11,1079,39,59,55,39,39
11,506,34,34,48,46,46
11,651,31,57,65,31,31
11,97,13,13,13,31,31
11,886,35,61,57,35,35
11,239,176,194,194,176,176
11,662,35,35,35,45,45
11,1358,140,140,140,208,208
11,744,101,101,101,169,169
11,1208,36,66,72,36,36
11,774,31,35,33,31,31
11,1096,37,89,95,37,37
11,699,83,83,83,151,151
11,1383,140,140,140,208,208
11,1288,33,43,45,37,33
11,527,458,458,458,526,526
11,94,671,671,671,739,739
11,144,28,28,28,36,32
11,271,91,131,109,91,91
11,477,9,9,17,21,9
11,493,34,54,44,42,34
11,268,194,236,246,194,194
11,1272,83,83,83,151,151
11,186,85,119,111,85,85
11,735,857,877,883,857,857
11,382,0,0,0,0,0
11,341,140,140,140,208,208
11,762,15,27,27,15,15
11,1473,17,29,31,17,17
11,629,32,44,46,36,32
11,1278,14,30,30,14,14
11,187,28,28,28,32,32
11,703,23,43,49,23,23
11,442,716,716,718,732,732
11,36,25,25,35,37,33
11,1037,338,394,402,338,338
11,743,395,395,395,463,463
11,1022,213,213,221,241,241
11,485,41,45,51,41,43
11,232,132,150,150,132,132
11,1193,83,83,83,151,151
11,707,83,83,83,151,151
11,236,37,37,41,57,37
11,416,0,0,0,0,0
11,664,62,74,80,62,62
11,287,19,57,55,19,19
11,1465,38,62,52,38,38
11,342,140,140,140,208,208
11,370,21,29,29,21,21
11,963,101,101,101,169,169
11,1372,356,392,398,356,356
11,738,21,27,21,39,25
11,509,458,458,458,526,526
11,80,22,48,46,36,22
11,266,33,33,35,45,45
11,274,40,64,64,48,40
11,468,74,74,76,78,78
11,67,46,46,48,56,56
11,115,31,39,41,31,31
11,671,29,37,43,45,29
11,1111,83,83,83,151,151
11,131,75,75,83,77,77
11,746,6,24,26,6,6
11,1224,753,823,843,753,753
11,1038,529,603,603,529,529
11,577,458,458,458,526,526
11,599,404,404,404,458,458
11,84,63,109,105,63,63
11,9,39,51,67,39,39
11,269,65,79,65,93,67
11,228,41,41,49,45,45
11,328,36,42,50,36,36
11,550,53,53,53,83,69
11,561,68,68,68,118,118
11,1484,68,68,76,100,100
11,1001,268,324,324,268,268
11,660,24,40,48,24,24
11,1218,34,34,40,70,70
11,990,76,118,116,76,76
11,679,426,426,426,494,494
11,1276,101,101,101,169,169
11,1456,67,113,107,67,67
11,38,71,109,117,71,71
11,1309,7,7,7,27,27
11,163,40,44,40,58,58
11,193,125,147,151,125,125
11,1350,101,101,101,169,169
11,199,116,162,162,116,116
11,1246,140,140,140,208,208
11,937,83,83,83,151,151
11,402,15,35,35,15,15
13,1013,112,112,114,168,168
13,899,97,97,97,135,135
13,1361,42,62,58,42,42
13,643,60,60,62,68,60
13,942,56,56,60,110,98
13,78,62,62,62,64,62
13,327,59,59,65,69,69
13,54,73,79,73,89,89
13,1413,70,74,74,78,70
13,563,122,124,122,186,186
13,1202,112,112,114,168,168
13,62,52,62,60,64,52
13,686,47,63,57,47,47
13,904,45,71,45,61,61
13,1042,74,88,94,74,74
13,1345,135,135,135,205,205
13,855,97,97,97,135,135
13,1180,75,75,81,79,85
13,1207,52,52,54,82,82
13,535,25,57,63,61,25
13,943,122,124,122,186,186
13,286,52,64,56,60,52
13,149,63,73,67,63,63
13,939,52,74,58,52,52
13,1108,76,82,76,78,78
13,710,112,112,114,168,168
13,673,63,63,69,73,73
13,258,66,66,74,74,82
13,860,122,124,122,186,186
13,109,70,74,82,70,86
13,358,59,59,77,63,61
13,339,53,61,75,63,53
13,45,53,53,53,73,73
13,721,33,71,65,33,33
13,1056,66,66,72,80,80
13,1388,66,74,78,66,66
13,683,49,57,55,69,49
13,1145,76,82,82,76,76
13,1344,61,73,79,61,61
13,1181,135,135,135,205,205
13,391,52,80,80,80,52
13,1083,59,59,61,95,79
13,953,55,73,75,55,55
13,1068,112,112,114,168,168
13,882,122,124,122,186,186
13,15,46,60,64,68,46
13,1015,75,81,75,99,99
13,322,59,65,67,71,59
13,441,38,64,64,38,38
13,128,26,58,48,62,26
13,680,97,97,97,135,135
13,364,112,112,114,168,168
13,375,33,57,59,59,33
13,1043,135,135,135,205,205
13,1190,122,124,122,186,186
13,588,40,60,50,58,40
13,894,52,66,70,52,52
13,164,42,60,56,50,42
13,1059,70,70,80,86,86
13,554,60,66,78,60,62
13,730,63,73,63,63,63
13,344,112,112,114,168,168
13,568,70,70,72,88,84
13,1144,80,80,80,114,108
13,35,52,52,54,74,54
13,1357,85,85,87,107,85
13,145,33,57,57,65,33
13,1141,93,93,97,117,117
13,1430,65,65,65,79,79
13,932,55,55,55,55,55
13,179,67,79,67,85,85
13,617,78,80,86,78,78
13,98,97,97,97,135,135
13,1349,105,105,115,129,129
13,1138,51,55,51,81,91
13,28,97,97,97,135,135
13,889,97,97,97,135,135
13,1294,112,112,114,168,168
13,172,55,65,73,75,55
13,829,122,124,122,186,186
13,40,27,55,55,63,27
13,178,27,43,55,27,27
13,81,86,94,86,118,92
13,225,79,81,79,89,89
13,837,42,60,56,50,42
13,153,67,71,75,81,67
13,279,92,94,92,106,106
13,11,55,55,55,63,67
13,517,33,61,59,33,33
13,302,75,83,83,85,75
13,1165,49,57,59,59,49
13,1248,122,124,122,186,186
13,1146,135,135,135,205,205
13,722,39,59,61,39,39
13,880,122,124,122,186,186
13,682,55,61,55,55,55
13,260,34,58,50,34,34
13,1389,75,81,75,97,97
13,61,75,81,75,79,79
13,587,41,55,61,41,41
13,51,81,83,87,85,81
13,961,49,61,67,65,49
13,294,31,57,43,31,31
13,1113,112,112,114,168,168
13,348,60,64,60,62,62
13,842,52,74,64,80,52
13,371,38,58,66,38,38
13,1363,53,53,55,53,53
13,1123,135,135,135,205,205
13,579,61,61,63,79,79
13,37,63,81,79,63,97
13,1327,59,79,79,77,59
13,745,112,112,114,168,168
13,181,72,74,72,86,86
13,227,55,65,73,75,55
13,429,97,105,97,139,139
13,464,67,67,69,73,73
13,1139,65,81,73,65,65
13,165,72,74,78,72,80
13,1331,56,56,70,72,72
13,1370,122,124,122,186,186
13,815,97,97,97,135,135
13,1086,61,73,75,61,77
13,1237,65,65,65,101,101
13,571,51,61,51,67,51
13,1079,78,78,82,80,80
13,506,49,71,75,49,49
13,651,54,60,70,82,54
13,97,66,68,70,66,66
13,662,64,78,78,64,64
13,744,122,124,122,186,186
13,1208,85,89,91,107,85
13,774,44,62,52,44,44
13,699,112,112,114,168,168
13,1288,62,74,66,62,62
13,144,59,67,63,59,59
13,477,48,64,66,48,48
13,1272,112,112,114,168,168
13,382,39,59,61,69,39
13,762,52,66,52,64,60
13,1473,42,60,62,48,42
13,629,25,51,55,25,25
13,1278,33,67,71,65,33
13,187,59,71,75,59,65
13,703,54,72,70,68,54
13,485,22,60,56,58,22
13,1193,112,112,114,168,168
13,707,112,112,114,168,168
13,236,60,60,68,88,78
13,416,57,59,57,67,67
13,287,52,66,70,52,52
13,1465,67,67,81,71,71
13,370,38,52,58,74,38
13,963,122,124,122,186,186
13,738,54,72,66,54,54
13,80,39,65,59,39,39
13,266,64,74,76,64,64
13,67,35,59,63,35,35
13,115,32,62,56,60,32
13,1111,112,112,114,168,168
13,131,92,94,92,106,106
13,746,63,71,71,63,71
13,228,54,62,54,66,70
13,550,84,84,86,94,94
13,561,97,97,97,135,135
13,1484,93,93,97,117,117
13,660,59,59,59,63,63
13,1218,65,65,65,79,79
13,1276,122,124,122,186,186
13,1309,64,66,64,64,64
13,163,69,77,83,89,69
13,1350,122,124,122,186,186
13,937,112,112,114,168,168
13,402,54,54,60,74,66
13,956,106,120,106,172,172
13,1109,145,145,145,225,225
13,272,91,143,129,91,91
13,1420,176,176,176,210,210
13,1249,294,294,308,346,346
13,162,75,117,119,113,75
13,920,870,870,876,886,886
13,991,686,696,686,688,688
13,1492,77,79,93,77,79
13,1313,598,656,652,612,598
13,717,89,91,89,109,109
13,1066,65,73,73,65,65
13,169,169,169,177,199,203
13,1178,185,185,193,255,211
13,666,1507,1555,1557,1517,1507
13,1131,145,145,145,225,225
13,243,70,74,70,88,88
13,1227,148,178,176,158,148
13,630,40,40,46,70,62
13,742,67,117,113,71,67
13,1321,96,96,96,118,106
13,378,221,265,261,223,221
13,298,209,249,243,209,209
13,1148,90,98,102,90,90
13,170,175,201,197,175,175
13,137,53,89,81,53,53
13,827,870,870,876,886,886
13,1439,215,243,235,227,215
13,1270,171,187,203,171,171
13,1149,107,133,129,107,107
13,1002,58,76,62,86,58
13,941,439,447,451,439,439
13,1039,65,67,65,87,87
13,415,106,106,110,118,118
13,1269,400,470,470,436,400
13,497,90,90,100,104,104
13,1017,145,145,145,225,225
