g1.gid,g2.gid,ged,hungarian,vj,beam5
25,113,105,187,177,105
25,533,100,150,162,100
25,14,69,143,143,69
25,540,102,170,168,102
25,286,85,151,145,85
25,93,73,137,141,73
25,276,97,139,141,97
25,126,96,134,136,96
25,243,70,130,144,70
25,102,101,149,151,101
25,459,104,152,150,104
25,547,120,154,152,120
25,414,95,147,151,95
25,177,89,159,165,89
25,62,78,130,134,78
25,227,89,143,145,89
25,226,85,145,141,85
25,444,93,143,145,93
25,282,93,153,161,93
25,553,82,156,162,82
25,574,91,135,161,91
25,306,104,178,178,104
25,516,69,139,149,69
25,193,95,141,143,95
25,492,88,144,152,88
25,495,72,130,136,72
25,195,84,158,158,84
25,530,94,146,140,94
25,327,102,168,164,102
25,595,97,169,159,97
25,390,80,130,152,80
25,146,87,147,161,87
25,103,131,199,213,131
25,46,100,166,162,100
25,355,145,221,213,145
25,493,78,140,150,78
25,234,99,151,145,99
25,430,91,117,135,91
25,293,178,234,238,178
25,98,98,142,152,98
25,404,80,138,138,80
25,91,81,141,147,81
25,439,96,170,178,96
25,13,88,140,140,88
25,310,95,179,181,95
25,599,117,173,165,117
25,275,80,124,130,80
25,379,91,137,133,91
25,169,95,161,163,95
25,569,84,158,162,84
25,89,89,159,157,89
25,392,92,158,144,92
25,203,125,187,177,125
25,30,85,139,141,85
25,542,98,166,166,98
25,204,121,195,197,121
25,222,98,134,148,98
25,325,99,177,179,99
25,269,94,148,154,94
25,228,91,151,141,91
25,271,97,145,143,97
25,63,77,127,143,77
25,333,81,131,131,81
25,21,91,161,151,91
25,171,102,156,174,102
25,560,65,135,145,65
25,108,103,145,143,103
25,523,112,174,198,112
25,443,106,138,152,106
25,496,81,127,139,81
25,231,90,144,140,90
25,99,111,139,145,111
25,418,76,132,144,76
25,517,110,176,158,110
25,290,91,147,135,91
25,424,95,133,133,95
25,494,84,142,146,84
25,272,87,141,143,87
25,303,83,139,151,83
25,178,109,145,151,109
25,534,102,164,172,102
25,307,93,153,175,93
25,247,86,132,130,86
25,90,79,133,147,79
25,23,55,145,149,55
25,200,89,147,153,89
25,571,73,145,159,73
25,485,86,148,142,86
25,591,108,182,176,108
25,92,80,144,144,80
25,17,108,156,164,108
25,16,111,175,183,111
25,242,80,140,140,80
25,541,105,153,171,105
25,37,89,149,147,89
25,461,108,148,148,108
25,412,85,139,149,85
25,10,76,130,136,76
25,434,82,130,136,82
25,357,99,143,147,99
25,299,68,130,142,68
25,512,91,141,145,91
25,503,80,156,166,80
25,597,117,195,199,117
25,68,76,148,152,76
25,573,90,152,158,90
25,185,94,160,164,94
25,427,77,139,149,77
25,47,84,142,136,84
25,277,75,127,145,75
25,585,93,149,157,93
25,274,82,126,146,82
25,85,86,142,144,86
25,499,79,145,149,79
25,148,86,150,152,86
25,191,91,161,175,91
25,559,70,146,148,70
25,371,93,133,141,93
25,117,101,165,171,101
25,139,99,155,157,99
25,366,85,137,143,85
25,563,101,155,157,101
25,278,82,154,156,82
25,187,85,157,171,85
25,532,161,227,223,161
25,173,103,165,163,103
25,465,106,182,182,106
25,580,76,140,148,76
25,198,105,167,171,105
25,72,71,141,135,71
25,158,96,124,130,96
25,189,90,154,154,90
25,20,102,146,152,102
25,94,86,140,148,86
25,196,91,177,169,91
25,8,200,262,256,200
25,522,84,140,148,84
25,33,70,138,146,70
25,551,107,181,175,107
25,484,117,167,169,117
25,378,88,132,136,88
25,593,93,143,147,93
25,268,89,147,157,89
25,413,94,142,148,94
25,52,85,141,147,85
25,539,74,152,160,74
25,380,78,144,140,78
25,535,69,143,151,69
25,320,86,134,138,86
25,583,81,157,149,81
25,498,71,129,145,71
25,36,78,140,156,78
25,95,81,143,143,81
25,179,82,124,136,82
25,285,101,165,159,101
25,596,103,159,155,103
25,409,95,137,147,95
25,250,100,150,152,100
25,183,99,155,159,99
25,326,101,159,169,101
25,346,75,127,149,75
25,400,106,134,132,106
25,543,75,145,145,75
25,104,83,149,147,83
25,48,72,144,140,72
25,32,68,154,156,68
25,511,86,142,146,86
25,209,121,183,197,121
25,197,92,144,148,92
25,491,59,143,147,59
25,312,95,165,165,95
25,49,78,138,144,78
25,181,88,146,150,88
25,497,84,142,152,84
25,600,106,148,142,106
25,592,83,145,149,83
25,457,100,120,130,100
25,527,123,201,195,123
25,575,114,186,186,114
25,71,87,153,147,87
25,224,104,182,176,104
25,18,88,158,164,88
25,194,101,159,167,101
25,552,96,148,156,96
25,472,82,160,164,82
25,233,75,133,145,75
25,504,141,207,215,141
25,408,94,144,150,94
25,45,106,174,166,106
25,294,116,172,192,116
25,87,82,140,148,82
25,235,76,134,142,76
25,27,85,131,141,85
25,192,106,132,146,106
25,349,151,213,223,151
25,246,75,135,139,75
25,134,110,138,140,110
25,502,84,148,148,84
25,407,97,139,143,97
25,97,94,138,140,94
25,296,243,305,307,243
25,557,106,172,188,106
25,218,98,158,166,98
25,500,82,156,162,82
25,88,104,144,154,104
25,199,139,199,201,139
25,501,125,177,185,125
25,411,101,141,153,101
25,283,102,164,168,102
25,221,92,138,146,92
25,288,71,151,141,71
25,121,81,147,149,81
25,521,95,159,147,95
25,273,87,151,141,87
25,147,101,153,155,101
25,382,95,171,175,95
25,73,74,144,152,74
438,25,118,172,176,118
438,438,0,0,176,0
438,252,117,157,163,117
438,24,119,173,175,119
438,267,121,161,167,121
438,315,145,171,185,145
438,350,118,168,156,118
438,15,103,155,161,103
438,348,116,172,170,116
438,67,109,155,163,109
438,415,123,171,173,123
438,442,126,172,172,126
438,167,116,172,180,116
438,395,137,169,169,137
438,365,112,168,160,112
438,317,140,168,158,140
438,302,105,171,169,105
438,149,126,164,170,126
438,377,111,163,169,111
438,253,114,158,164,114
438,537,138,166,174,138
438,81,131,167,169,131
438,266,104,160,166,104
438,279,122,198,202,122
438,558,110,174,182,110
438,105,125,171,165,125
438,300,131,175,177,131
438,176,111,185,177,111
438,406,130,166,170,130
438,109,118,166,166,118
438,230,127,171,171,127
438,554,124,162,164,124
438,401,122,184,168,122
438,43,119,175,177,119
438,388,116,150,164,116
438,489,99,155,157,99
438,184,126,160,168,126
438,347,106,172,168,106
438,301,114,176,170,114
438,536,119,173,175,119
438,589,130,164,160,130
438,564,109,165,155,109
438,107,129,163,181,129
438,289,114,166,178,114
438,509,124,160,172,124
438,292,121,205,197,121
438,513,122,176,176,122
438,526,119,203,187,119
438,428,114,150,160,114
438,295,237,299,299,237
438,545,105,161,151,105
438,116,111,161,163,111
438,291,129,197,199,129
438,490,115,161,163,115
438,448,119,159,171,119
438,84,122,166,164,122
438,1,122,170,170,122
438,245,127,163,175,127
438,594,145,187,193,145
438,519,114,162,172,114
438,112,117,181,173,117
438,101,132,164,170,132
438,316,109,165,169,109
438,381,106,154,162,106
438,538,108,152,170,108
438,313,119,183,173,119
438,31,114,162,168,114
438,215,133,181,181,133
438,531,119,173,175,119
438,44,107,167,175,107
438,452,105,157,151,105
438,524,102,166,166,102
438,123,188,238,254,188
438,304,121,173,173,121
438,520,123,163,165,123
438,241,109,159,163,109
438,270,117,159,161,117
438,180,103,141,153,103
438,74,119,181,181,119
438,42,125,179,179,125
438,309,123,171,165,123
438,26,128,180,172,128
438,570,100,164,158,100
438,297,239,307,303,239
438,572,107,165,169,107
438,546,109,159,171,109
438,22,112,168,176,112
438,86,103,165,161,103
438,41,123,177,175,123
438,174,133,173,175,133
438,308,121,173,173,121
438,118,191,247,257,191
438,578,120,198,194,120
438,287,121,159,165,121
438,514,130,164,172,130
438,223,122,164,158,122
438,305,122,182,162,122
438,598,118,180,186,118
438,284,105,151,163,105
438,182,118,176,174,118
438,168,117,167,175,117
438,544,105,169,167,105
438,143,109,151,145,109
438,113,113,177,187,113
438,533,118,170,160,118
438,14,101,147,157,101
438,540,104,168,170,104
438,286,115,167,165,115
438,93,107,153,163,107
438,276,113,161,165,113
438,126,118,152,154,118
438,243,110,162,160,110
438,102,109,175,175,109
438,459,124,166,164,124
438,547,136,176,162,136
438,414,109,163,173,109
438,177,127,179,177,127
438,62,116,164,160,116
438,227,119,173,159,119
438,226,121,165,163,121
438,444,123,175,167,123
438,282,113,163,171,113
438,553,100,162,170,100
438,574,115,173,177,115
438,306,116,180,184,116
438,516,117,173,161,117
438,193,117,157,163,117
438,492,118,160,154,118
438,495,96,160,166,96
438,195,132,176,184,132
438,530,108,160,158,108
438,327,130,170,172,130
438,595,121,173,183,121
438,390,114,162,166,114
438,146,123,163,173,123
438,103,135,203,207,135
438,46,130,180,188,130
438,355,143,215,205,143
438,493,120,160,160,120
438,234,105,171,171,105
438,430,115,159,159,115
438,293,178,234,246,178
438,98,114,162,172,114
438,404,116,150,160,116
438,91,127,167,175,127
438,439,124,166,178,124
438,13,98,152,154,98
438,310,119,179,185,119
438,599,133,177,179,133
438,275,110,148,144,110
438,379,119,153,159,119
438,169,131,173,187,131
438,569,132,170,160,132
438,89,137,183,175,137
438,392,108,154,172,108
438,203,117,181,189,117
438,30,103,159,163,103
438,542,116,180,174,116
438,204,129,191,191,129
438,222,106,160,152,106
438,325,103,177,181,103
438,269,122,168,170,122
438,228,133,167,175,133
438,271,117,165,171,117
438,63,105,151,163,105
438,333,115,155,157,115
438,21,127,175,165,127
438,171,130,178,178,130
438,560,105,171,155,105
438,108,137,169,171,137
438,523,144,180,182,144
438,443,126,168,170,126
438,496,105,157,167,105
438,231,128,168,170,128
438,99,121,145,167,121
438,418,114,166,168,114
438,517,120,176,178,120
438,290,115,161,157,115
438,424,109,163,165,109
438,494,118,166,164,118
438,272,101,155,165,101
438,303,117,177,163,117
438,178,115,167,163,115
438,534,124,182,186,124
438,307,113,169,165,113
438,247,112,156,152,112
438,90,105,157,169,105
438,23,119,169,173,119
438,200,123,165,171,123
438,571,117,157,161,117
438,485,118,156,154,118
438,591,118,174,176,118
438,92,128,166,156,128
438,17,134,174,164,134
438,16,115,191,181,115
438,242,116,158,166,116
438,541,109,167,169,109
438,37,119,161,163,119
438,461,134,170,162,134
438,412,117,161,165,117
438,10,100,152,152,100
438,434,84,154,160,84
438,357,111,161,165,111
438,299,100,158,168,100
438,512,121,161,167,121
438,503,106,162,164,106
438,597,131,193,189,131
438,68,122,154,172,122
438,573,108,160,160,108
438,185,130,182,174,130
438,427,111,153,165,111
438,47,116,158,156,116
438,277,117,159,159,117
438,585,111,171,163,111
438,274,104,162,158,104
438,85,126,156,158,126
438,499,121,169,167,121
438,148,110,168,168,110
438,191,109,171,173,109
438,559,108,166,158,108
438,371,125,161,151,125
438,117,129,169,161,129
438,139,133,167,171,133
438,366,113,159,163,113
438,563,113,153,159,113
438,278,112,160,168,112
438,187,121,167,179,121
438,532,159,215,213,159
438,173,125,181,179,125
438,465,114,180,182,114
438,580,124,176,168,124
438,198,103,171,163,103
438,72,97,157,161,97
438,158,114,156,160,114
438,189,130,168,170,130
438,20,114,160,162,114
438,94,118,164,164,118
438,196,119,157,177,119
438,8,194,254,262,194
438,522,124,170,174,124
438,33,118,172,178,118
438,551,121,179,189,121
438,484,109,171,175,109
438,378,116,156,162,116
438,593,115,161,163,115
438,268,123,167,173,123
438,413,124,170,166,124
438,52,129,153,165,129
438,539,126,154,178,126
438,380,104,158,162,104
438,535,119,173,161,119
438,320,100,154,148,100
438,583,111,185,173,111
438,498,117,151,159,117
438,36,104,160,154,104
438,95,119,161,163,119
438,179,110,148,154,110
438,285,115,165,167,115
438,596,109,177,167,109
438,409,115,157,161,115
438,250,138,160,178,138
438,183,117,181,185,117
438,326,121,177,177,121
438,346,105,155,161,105
438,400,114,156,154,114
438,543,99,165,159,99
438,104,123,169,169,123
438,48,114,162,156,114
438,32,118,164,162,118
438,511,122,152,168,122
438,209,113,189,189,113
438,197,120,150,160,120
438,491,99,157,161,99
438,312,113,155,165,113
438,49,112,164,158,112
438,181,118,160,152,118
438,497,112,158,160,112
438,600,136,152,160,136
438,592,147,173,171,147
438,457,102,144,152,102
438,527,131,197,191,131
438,575,142,192,182,142
438,71,135,175,175,135
438,224,120,184,180,120
438,18,126,176,166,126
438,194,129,175,171,129
438,552,130,162,160,130
438,472,114,174,178,114
438,233,123,161,153,123
438,504,153,215,207,153
438,408,124,170,172,124
438,45,116,178,178,116
438,294,114,180,176,114
438,87,110,162,160,110
438,235,120,170,160,120
438,27,127,171,171,127
438,192,124,158,168,124
438,349,151,217,211,151
438,246,101,161,157,101
438,134,128,162,162,128
438,502,136,168,170,136
438,407,121,167,161,121
438,97,110,154,162,110
438,296,237,307,309,237
438,557,116,184,186,116
438,218,124,180,182,124
438,500,144,172,180,144
438,88,124,168,180,124
438,199,133,205,195,133
438,501,123,175,191,123
438,411,107,163,155,107
438,283,116,176,168,116
438,221,118,162,162,118
438,288,109,165,163,109
438,121,123,155,173,123
438,521,121,171,171,121
438,273,129,165,175,129
438,147,119,167,175,119
438,382,113,171,159,113
438,73,124,166,174,124
252,25,75,135,131,75
252,438,113,157,163,113
252,252,0,0,86,0
252,24,74,144,144,74
252,267,64,100,80,64
252,315,92,140,152,92
252,350,69,111,115,69
252,15,38,112,110,38
252,348,75,137,129,75
252,67,56,98,104,56
252,415,74,108,118,74
252,442,101,133,143,101
252,167,85,141,141,85
252,395,104,166,154,104
252,365,71,113,131,71
252,317,59,105,107,59
252,302,86,134,134,86
252,149,81,119,129,81
252,377,70,118,114,70
252,253,57,109,111,57
252,537,91,147,133,91
252,81,70,100,110,70
252,266,45,103,93,45
252,279,125,181,183,125
252,558,93,159,167,93
252,105,74,104,110,74
252,300,102,160,162,102
252,176,96,154,162,96
252,406,61,109,105,61
252,109,63,117,119,63
252,230,64,98,114,64
252,554,69,101,103,69
252,401,117,159,153,117
252,43,94,158,160,94
252,388,65,113,113,65
252,489,64,100,102,64
252,184,87,127,133,87
252,347,85,139,129,85
252,301,97,137,151,97
252,536,84,144,144,84
252,589,43,107,109,43
252,564,72,124,130,72
252,107,66,138,130,66
252,289,69,133,137,69
252,509,75,129,147,75
252,292,122,180,180,122
252,513,93,129,145,93
252,526,118,182,178,118
252,428,55,91,99,55
252,295,232,278,282,232
252,545,66,124,130,66
252,116,74,134,136,74
252,291,124,180,172,124
252,490,42,118,98,42
252,448,70,122,124,70
252,84,63,109,123,63
252,1,65,121,131,65
252,245,56,130,140,56
252,594,118,174,176,118
252,519,69,109,119,69
252,112,108,166,162,108
252,101,89,157,149,89
252,316,86,144,150,86
252,381,57,85,89,57
252,538,89,141,141,89
252,313,106,154,168,106
252,31,57,121,131,57
252,215,106,168,174,106
252,531,76,136,138,76
252,44,86,144,164,86
252,452,58,92,108,58
252,524,55,131,133,55
252,123,179,239,237,179
252,304,80,112,130,80
252,520,64,116,108,64
252,241,74,108,104,74
252,270,54,94,100,54
252,180,50,104,112,50
252,74,76,134,144,76
252,42,94,160,160,94
252,309,96,148,148,96
252,26,65,125,135,65
252,570,77,137,123,77
252,297,234,286,282,234
252,572,84,132,134,84
252,546,72,132,142,72
252,22,69,121,141,69
252,86,52,130,122,52
252,41,82,140,150,82
252,174,104,158,152,104
252,308,80,112,130,80
252,118,182,234,230,182
252,578,111,169,175,111
252,287,78,140,138,78
252,514,79,135,131,79
252,223,71,123,135,71
252,305,97,147,149,97
252,598,115,169,163,115
252,284,94,138,138,94
252,182,71,141,133,71
252,168,74,132,142,74
252,544,60,132,144,60
252,143,72,108,116,72
252,113,104,170,170,104
252,533,85,149,149,85
252,14,60,116,132,60
252,540,97,155,157,97
252,286,64,138,140,64
252,93,42,106,108,42
252,276,70,104,102,70
252,126,71,99,89,71
252,243,55,101,107,55
252,102,72,142,146,72
252,459,79,121,117,79
252,547,73,127,131,73
252,414,78,124,126,78
252,177,86,152,156,86
252,62,59,117,113,59
252,227,76,126,120,76
252,226,76,120,114,76
252,444,100,126,136,100
252,282,90,144,148,90
252,553,77,145,145,77
252,574,94,134,150,94
252,306,103,171,167,103
252,516,62,126,116,62
252,193,56,102,104,56
252,492,67,113,119,67
252,495,69,121,123,69
252,195,103,149,149,103
252,530,79,137,135,79
252,327,89,151,153,89
252,595,86,154,142,86
252,390,61,125,135,61
252,146,82,120,140,82
252,103,128,186,172,128
252,46,79,145,157,79
252,355,136,194,200,136
252,493,65,101,113,65
252,234,66,114,112,66
252,430,62,110,96,62
252,293,173,211,217,173
252,98,57,107,111,57
252,404,67,103,111,67
252,91,74,120,122,74
252,439,109,151,157,109
252,13,69,111,131,69
252,310,106,162,160,106
252,599,112,154,164,112
252,275,47,85,119,47
252,379,42,86,102,42
252,169,86,154,154,86
252,569,83,145,145,83
252,89,90,136,142,90
252,392,83,141,153,83
252,203,106,170,170,106
252,30,50,96,104,50
252,542,103,159,157,103
252,204,100,178,186,100
252,222,71,91,103,71
252,325,100,164,158,100
252,269,67,109,121,67
252,228,72,114,112,72
252,271,82,94,112,82
252,63,68,102,98,68
252,333,48,94,104,48
252,21,74,144,148,74
252,171,95,157,153,95
252,560,64,116,116,64
252,108,82,124,128,82
252,523,105,165,163,105
252,443,81,127,125,81
252,496,60,128,132,60
252,231,73,99,119,73
252,99,68,106,104,68
252,418,65,119,119,65
252,517,95,149,161,95
252,290,50,118,120,50
252,424,76,122,114,76
252,494,53,95,105,53
252,272,80,136,132,80
252,303,64,124,136,64
252,178,80,130,146,80
252,534,93,151,139,93
252,307,92,152,144,92
252,247,73,109,119,73
252,90,50,116,116,50
252,23,62,132,134,62
252,200,46,112,120,46
252,571,74,138,142,74
252,485,71,109,119,71
252,591,101,163,165,101
252,92,63,117,119,63
252,17,79,117,137,79
252,16,116,158,166,116
252,242,59,103,99,59
252,541,100,152,146,100
252,37,70,138,134,70
252,461,73,103,121,73
252,412,82,106,112,82
252,10,53,91,99,53
252,434,67,119,117,67
252,357,68,112,104,68
252,299,57,129,133,57
252,512,60,96,102,60
252,503,85,147,145,85
252,597,118,178,184,118
252,68,61,125,127,61
252,573,79,137,129,79
252,185,97,149,149,97
252,427,46,84,106,46
252,47,55,101,89,55
252,277,54,118,110,54
252,585,44,114,118,44
252,274,61,113,115,61
252,85,63,107,109,63
252,499,58,120,116,58
252,148,73,121,131,73
252,191,90,150,160,90
252,559,71,111,119,71
252,371,62,94,104,62
252,117,98,156,158,98
252,139,60,128,130,60
252,366,66,128,132,66
252,563,94,140,138,94
252,278,79,139,143,79
252,187,78,150,148,78
252,532,152,208,214,152
252,173,92,146,162,92
252,465,99,165,163,99
252,580,47,131,127,47
252,198,104,142,146,104
252,72,58,112,118,58
252,158,69,113,113,69
252,189,85,137,145,85
252,20,51,111,105,51
252,94,67,105,111,67
252,196,98,150,150,98
252,8,187,233,231,187
252,522,61,119,135,61
252,33,61,121,127,61
252,551,110,162,168,110
252,484,110,152,150,110
252,378,73,93,97,73
252,593,92,126,136,92
252,268,62,98,114,62
252,413,71,117,113,71
252,52,68,134,132,68
252,539,69,121,141,69
252,380,53,115,119,53
252,535,68,118,134,68
252,320,57,107,103,57
252,583,90,150,154,90
252,498,64,130,118,64
252,36,77,135,133,77
252,95,62,88,106,62
252,179,63,111,115,63
252,285,104,140,158,104
252,596,96,150,156,96
252,409,64,98,106,64
252,250,81,103,115,81
252,183,82,126,152,82
252,326,92,148,154,92
252,346,56,116,122,56
252,400,67,113,109,67
252,543,64,140,132,64
252,104,68,110,114,68
252,48,57,97,101,57
252,32,61,119,129,61
252,511,59,95,113,59
252,209,108,168,180,108
252,197,77,133,131,77
252,491,52,120,122,52
252,312,94,148,150,94
252,49,59,103,105,59
252,181,75,129,137,75
252,497,55,131,129,55
252,600,95,141,131,95
252,592,84,122,122,84
252,457,49,77,93,49
252,527,124,182,168,124
252,575,117,165,175,117
252,71,72,118,134,72
252,224,111,157,171,111
252,18,89,123,131,89
252,194,102,146,164,102
252,552,67,129,133,67
252,472,79,147,157,79
252,233,68,118,120,68
252,504,142,194,206,142
252,408,63,107,93,63
252,45,93,161,157,93
252,294,107,165,171,107
252,87,63,131,129,63
252,235,65,113,113,65
252,27,74,118,128,74
252,192,65,105,107,65
252,349,146,200,200,146
252,246,66,130,134,66
252,134,63,99,97,63
252,502,43,109,119,43
252,407,84,108,108,84
252,97,71,93,103,71
252,296,234,284,286,234
252,557,101,163,167,101
252,218,79,145,149,79
252,500,81,119,151,81
252,88,73,127,131,73
252,199,122,184,182,122
252,501,118,154,164,118
252,411,60,124,116,60
252,283,101,153,153,101
252,221,59,111,109,59
252,288,60,140,142,60
252,121,76,136,138,76
252,521,62,110,126,62
252,273,58,130,130,58
252,147,78,136,130,78
252,382,98,146,154,98
252,73,69,133,141,69
24,25,93,139,149,93
24,438,103,173,175,103
24,252,84,144,144,84
24,24,0,0,156,0
24,267,104,148,148,104
24,315,96,160,170,96
24,350,91,139,149,91
24,15,68,150,144,68
24,348,101,155,153,101
24,67,88,148,146,88
24,415,90,158,164,90
24,442,111,163,163,111
24,167,103,155,135,103
24,395,102,172,174,102
24,365,87,147,145,87
24,317,103,159,153,103
24,302,104,146,160,104
24,149,111,161,157,111
24,377,82,146,142,82
24,253,87,145,145,87
24,537,107,169,159,107
24,81,100,146,154,100
24,266,81,139,137,81
24,279,131,197,199,131
24,558,105,181,179,105
24,105,94,142,152,94
24,300,104,170,174,104
24,176,106,174,174,106
24,406,89,145,151,89
24,109,93,153,145,93
24,230,94,154,144,94
24,554,111,141,137,111
24,401,113,161,171,113
24,43,96,170,174,96
24,388,95,149,153,95
24,489,80,134,136,80
24,184,123,145,163,123
24,347,87,143,155,87
24,301,105,167,149,105
24,536,114,156,166,114
24,589,93,139,151,93
24,564,104,152,140,104
24,107,114,162,162,114
24,289,85,151,167,85
24,509,117,155,153,117
24,292,118,196,192,118
24,513,89,149,165,89
24,526,122,204,202,122
24,428,101,141,139,101
24,295,242,298,298,242
24,545,70,152,154,70
24,116,76,154,152,76
24,291,122,186,200,122
24,490,70,148,150,70
24,448,114,142,146,114
24,84,103,155,151,103
24,1,95,151,161,95
24,245,98,152,158,98
24,594,126,196,194,126
24,519,107,155,159,107
24,112,108,180,176,108
24,101,107,173,173,107
24,316,92,158,152,92
24,381,83,133,149,83
24,538,97,161,157,97
24,313,114,176,184,114
24,31,101,141,143,101
24,215,106,186,182,106
24,531,114,156,162,114
24,44,114,180,150,114
24,452,98,136,136,98
24,524,77,141,157,77
24,123,185,245,247,185
24,304,100,158,158,100
24,520,98,150,148,98
24,241,96,144,132,96
24,270,96,148,148,96
24,180,88,136,142,88
24,74,102,150,158,102
24,42,86,184,176,86
24,309,104,170,178,104
24,26,87,151,159,87
24,570,93,133,161,93
24,297,244,308,314,244
24,572,76,138,170,76
24,546,92,154,154,92
24,22,95,155,161,95
24,86,76,144,150,76
24,41,88,170,172,88
24,174,98,168,180,98
24,308,100,158,158,100
24,118,190,254,250,190
24,578,129,191,205,129
24,287,86,160,162,86
24,514,113,165,173,113
24,223,79,151,153,79
24,305,101,163,169,101
24,598,125,177,187,125
24,284,106,160,160,106
24,182,99,157,161,99
24,168,108,160,156,108
24,544,88,148,156,88
24,143,108,142,132,108
24,113,110,182,176,110
24,533,111,159,161,111
24,14,98,132,138,98
24,540,101,175,165,101
24,286,80,150,154,80
24,93,74,134,142,74
24,276,108,144,150,108
24,126,99,139,139,99
24,243,79,143,137,79
24,102,88,150,162,88
24,459,89,155,157,89
24,547,93,151,161,93
24,414,74,162,164,74
24,177,122,162,160,122
24,62,79,149,139,79
24,227,90,146,158,90
24,226,92,148,162,92
24,444,104,156,150,104
24,282,96,158,168,96
24,553,91,161,161,91
24,574,90,162,154,90
24,306,123,183,183,123
24,516,96,150,150,96
24,193,92,146,148,92
24,492,91,155,155,91
24,495,75,153,153,75
24,195,99,173,173,99
24,530,93,159,147,93
24,327,117,167,175,117
24,595,106,162,162,106
24,390,73,167,139,73
24,146,100,168,154,100
24,103,130,202,212,130
24,46,105,171,167,105
24,355,150,210,216,150
24,493,81,149,155,81
24,234,108,156,152,108
24,430,90,136,140,90
24,293,175,237,247,175
24,98,107,157,151,107
24,404,89,135,137,89
24,91,94,154,150,94
24,439,119,165,181,119
24,13,83,143,147,83
24,310,116,184,180,116
24,599,116,168,176,116
24,275,75,127,127,75
24,379,100,144,146,100
24,169,112,158,170,112
24,569,103,153,155,103
24,89,108,166,164,108
24,392,105,159,167,105
24,203,110,192,190,110
24,30,92,146,140,92
24,542,97,167,173,97
24,204,116,200,192,116
24,222,99,141,143,99
24,325,108,180,180,108
24,269,99,157,145,99
24,228,102,148,156,102
24,271,88,148,158,88
24,63,82,124,142,82
24,333,72,136,142,72
24,21,94,158,162,94
24,171,95,175,171,95
24,560,108,148,148,108
24,108,104,158,154,104
24,523,103,177,193,103
24,443,97,151,149,97
24,496,68,150,150,68
24,231,111,143,149,111
24,99,108,152,150,108
24,418,85,143,155,85
24,517,121,169,167,121
24,290,82,136,152,82
24,424,94,150,142,94
24,494,83,145,147,83
24,272,96,146,144,96
24,303,98,154,158,98
24,178,110,146,164,110
24,534,105,181,177,105
24,307,102,172,172,102
24,247,97,131,143,97
24,90,80,146,152,80
24,23,80,146,152,80
24,200,108,150,154,108
24,571,94,140,150,94
24,485,87,137,155,87
24,591,111,175,175,111
24,92,97,151,153,97
24,17,89,155,165,89
24,16,106,182,174,106
24,242,89,143,149,89
24,541,100,158,160,100
24,37,106,142,152,106
24,461,105,161,157,105
24,412,80,144,156,80
24,10,85,139,145,85
24,434,81,131,153,81
