g1.gid,g2.gid,ged,hungarian,vj,beam5,beam10,cut
20408,20900,13,139,181,73,51,13
20408,20703,11,137,177,91,115,11
20408,10308,149,183,189,155,149,9999999
20408,20205,6,122,176,6,6,6
20408,20509,9,133,155,111,111,9
20408,10107,151,193,191,153,151,9999999
20408,20306,7,113,183,11,11,7
20408,10607,152,184,190,152,154,9999999
20408,10402,150,188,188,158,150,9999999
20408,20302,7,121,173,9,9,7
20408,20401,8,164,180,66,64,8
20408,20508,9,163,173,25,25,9
20408,10406,140,188,198,140,162,9999999
20408,20800,12,148,166,58,108,12
20408,20400,8,154,172,78,146,8
20408,10404,154,184,190,156,154,9999999
20408,10101,139,187,187,139,139,9999999
20408,20805,12,170,176,118,136,12
20408,10804,140,196,198,140,172,9999999
20408,11008,158,190,188,158,160,9999999
20408,10204,152,190,188,158,152,9999999
20408,20707,11,139,171,23,23,11
20408,20701,11,159,169,55,113,11
20408,20903,13,151,151,71,45,13
20408,10507,153,199,193,153,157,9999999
20408,21004,14,172,184,92,92,14
20408,20904,13,149,177,21,21,13
20408,10900,153,187,175,157,153,9999999
20408,20606,10,154,172,128,44,10
20408,10502,151,185,189,151,155,9999999
20408,20908,13,157,171,83,63,13
20408,10905,157,189,197,157,161,9999999
20408,10408,144,194,196,144,164,9999999
20408,20406,8,172,170,24,24,8
20408,10608,156,190,186,164,156,9999999
20408,10106,155,187,185,157,155,9999999
20408,10200,154,186,190,154,160,9999999
20408,10400,136,196,200,136,160,9999999
20408,20809,12,90,170,14,14,12
20408,20901,13,153,183,81,81,13
20408,10805,132,194,194,132,166,9999999
20408,21002,14,160,174,72,74,14
20408,20702,11,121,185,67,113,11
20408,10300,149,185,189,153,149,9999999
20408,10205,156,192,186,158,156,9999999
20408,10702,155,189,181,165,155,9999999
20408,20905,13,149,173,171,93,13
20408,11007,146,192,190,146,158,9999999
20408,20505,9,173,183,117,125,9
20408,20503,9,137,181,51,33,9
20408,20506,9,91,171,23,21,9
20408,20200,6,122,150,28,14,6
20408,10508,159,193,195,159,159,9999999
20408,21003,14,142,188,58,34,14
20408,20309,7,123,167,21,15,7
20408,20402,8,118,158,110,110,8
20408,20907,13,115,159,15,15,13
20408,20300,7,91,185,33,23,7
20408,20209,6,154,164,14,14,6
20408,10202,154,184,180,170,154,9999999
20408,10103,159,183,185,159,161,9999999
20408,20807,12,154,162,82,118,12
20408,20305,7,129,177,7,7,7
20408,20708,11,139,169,35,35,11
20408,10208,154,186,188,158,154,9999999
20408,20304,7,125,185,53,121,7
20408,10100,153,189,183,159,153,9999999
20408,10709,151,187,193,153,151,9999999
20408,10704,149,193,187,149,153,9999999
20408,2,4,102,172,4,4,4
20408,20409,8,164,160,46,46,8
20408,10806,148,192,184,152,148,9999999
20408,10701,155,195,191,159,155,9999999
20408,10803,158,192,186,160,158,9999999
20408,20808,12,164,178,58,120,12
20408,10703,143,187,193,143,161,9999999
20408,20803,12,150,168,26,16,12
20408,21001,14,162,164,82,78,14
20408,11004,158,188,182,174,158,9999999
20408,20103,5,95,175,5,5,5
20408,10909,137,189,191,137,153,9999999
20408,10306,155,187,183,161,155,9999999
20408,10603,152,190,194,156,152,9999999
20408,10604,154,192,190,154,154,9999999
20408,10303,153,189,191,153,167,9999999
20408,20902,13,161,165,123,125,13
20408,20100,5,93,171,5,5,5
20408,20404,8,150,164,108,52,8
20408,10801,150,194,194,150,150,9999999
20408,1,152,188,186,158,152,9999999
20408,10405,152,186,188,156,152,9999999
20408,20802,12,156,180,140,138,12
20408,10506,153,189,193,159,153,9999999
20408,10206,152,184,186,158,152,9999999
20408,10808,152,186,184,152,158,9999999
20408,20107,5,111,171,5,5,5
20408,20106,5,147,155,5,5,5
20408,20207,4,96,158,4,4,6
20408,20301,5,99,163,7,5,7
20408,20609,10,106,166,10,10,10
20408,10307,155,185,185,155,155,9999999
20408,10903,159,191,191,159,161,9999999
20408,11001,160,186,192,160,160,9999999
20408,10600,140,190,192,150,140,9999999
20408,20307,7,169,177,63,139,7
20408,20603,10,152,184,146,148,10
20408,10902,131,187,189,131,131,9999999
20408,20208,6,126,168,72,40,6
20408,20504,9,161,173,65,137,9
20408,10108,155,189,189,157,155,9999999
20408,20201,6,116,176,6,6,6
20408,10505,151,183,191,151,151,9999999
20408,21008,14,142,148,106,88,14
20408,20909,13,139,171,77,141,13
20408,20706,11,127,179,47,47,11
20408,10309,155,195,189,155,155,9999999
20408,20602,10,154,168,38,18,10
20408,10705,155,193,183,155,157,9999999
20408,20500,9,131,175,27,19,9
20408,11002,150,192,184,160,150,9999999
20408,20102,5,97,163,27,21,5
20408,20407,8,144,152,110,110,8
20408,20600,10,118,172,10,10,10
20408,20206,6,130,168,6,6,6
20408,20608,10,138,178,76,70,10
20408,20502,9,155,153,9,9,9
20408,10209,150,186,188,158,150,9999999
20408,10904,157,193,183,157,177,9999999
20408,10203,150,190,190,150,166,9999999
20408,11005,158,194,196,158,166,9999999
20408,10908,153,191,181,153,157,9999999
20408,20202,6,114,162,8,8,6
20408,10105,155,195,177,159,155,9999999
20408,10409,156,190,184,158,156,9999999
20408,10401,138,186,190,138,180,9999999
20408,10708,155,183,189,155,159,9999999
20408,10605,152,188,188,158,152,9999999
20408,20804,12,124,176,26,16,12
20408,10706,153,191,189,161,153,9999999
20408,10504,155,187,191,155,155,9999999
20408,10109,149,189,189,159,149,9999999
20408,10809,156,186,196,156,156,9999999
20408,10500,149,193,185,157,149,9999999
10609,20403,156,184,184,156,162,9999999
10609,20408,156,188,186,156,170,9999999
10609,10609,0,0,188,0,0,0
10609,10907,7,139,179,7,7,15
10609,20405,132,178,200,132,164,9999999
10609,20607,160,190,184,164,160,9999999
10609,10509,11,139,177,17,11,11
10609,20203,140,182,186,140,166,9999999
10609,21007,160,184,196,162,160,9999999
10609,20705,135,177,191,135,159,9999999
10609,10700,13,141,187,149,139,13
10609,10906,11,157,163,11,11,15
10609,10305,7,107,179,7,7,9
10609,20700,153,191,193,153,157,9999999
10609,20801,160,190,190,160,164,9999999
10609,10802,14,126,178,116,134,14
10609,10304,7,111,177,7,7,9
10609,10302,9,137,169,35,35,9
10609,20604,168,186,184,174,168,9999999
10609,20605,156,186,186,164,156,9999999
10609,20601,162,190,196,162,168,9999999
10609,10201,8,126,174,8,8,8
10609,20105,139,191,179,139,147,9999999
10609,10606,12,168,180,118,66,12
10609,10707,13,151,187,137,139,13
10609,21005,150,184,198,150,162,9999999
10609,10901,15,167,187,119,111,15
10609,20308,145,191,185,145,153,9999999
10609,21006,168,192,192,168,168,9999999
10609,21000,150,188,196,150,154,9999999
10609,10407,10,152,176,10,10,10
10609,20303,141,179,191,141,169,9999999
10609,20806,152,178,186,156,152,9999999
10609,20507,157,183,191,157,157,9999999
10609,20204,154,186,182,156,154,9999999
10609,10602,12,164,182,138,142,12
10609,10207,8,162,174,108,156,8
10609,10102,5,137,175,5,5,7
10609,10301,9,121,171,11,11,9
10609,20104,155,193,183,157,155,9999999
10609,10403,10,136,170,30,32,10
10609,20108,155,187,189,159,155,9999999
10609,10501,7,105,177,7,7,11
10609,10503,11,117,179,15,15,11
10609,20109,157,191,179,157,157,9999999
10609,11000,16,166,180,32,30,16
10609,10807,14,158,190,126,114,14
10609,20501,159,183,187,163,159,9999999
10609,20709,153,185,185,153,169,9999999
10609,11006,16,154,198,144,92,16
10609,11003,16,160,182,36,36,16
10609,10104,7,131,181,13,13,7
10609,20101,153,189,179,155,153,9999999
10609,10601,12,106,180,38,38,12
10609,10800,14,148,178,46,58,14
10609,20906,135,187,183,135,159,9999999
10609,20704,137,191,175,137,145,9999999
10609,20900,165,189,189,171,165,9999999
10609,20703,145,185,185,155,145,9999999
10609,10308,9,143,173,45,45,9
10609,20205,140,182,186,140,166,9999999
10609,20509,149,189,187,153,149,9999999
10609,10107,7,97,183,39,61,7
10609,20306,153,187,189,157,153,9999999
10609,10607,12,150,148,28,28,12
10609,10402,8,140,176,8,8,10
10609,20302,157,185,185,161,157,9999999
10609,20401,160,182,194,160,166,9999999
10609,20508,149,179,185,149,167,9999999
10609,10406,10,160,190,146,142,10
10609,20800,142,180,182,142,168,9999999
10609,20400,142,178,188,142,166,9999999
10609,10404,10,154,176,10,10,10
10609,10101,7,119,169,15,15,7
10609,20805,152,182,186,158,152,9999999
10609,10804,14,166,190,124,124,14
10609,11008,12,148,180,12,12,16
10609,10204,6,146,182,6,6,8
10609,20707,149,195,185,157,149,9999999
10609,20701,139,177,189,139,177,9999999
10609,20903,151,185,191,151,159,9999999
10609,10507,11,119,187,115,151,11
10609,21004,168,194,198,170,168,9999999
10609,20904,153,181,187,159,153,9999999
10609,10900,15,139,183,21,21,15
10609,20606,140,188,194,140,142,9999999
10609,10502,11,145,161,11,11,11
10609,20908,143,187,185,143,159,9999999
10609,10905,15,163,187,101,149,15
10609,10408,10,158,186,136,132,10
10609,20406,148,186,196,148,158,9999999
10609,10608,12,128,168,30,30,12
10609,10106,5,107,165,5,5,7
10609,10200,8,164,178,108,152,8
10609,10400,10,160,182,138,136,10
10609,20809,150,188,180,150,162,9999999
10609,20901,143,185,189,143,171,9999999
10609,10805,14,160,188,138,150,14
10609,21002,148,190,178,148,148,9999999
10609,20702,151,179,195,151,163,9999999
10609,10300,9,119,169,9,9,9
10609,10205,6,114,182,6,6,8
10609,10702,13,129,169,39,39,13
10609,20905,149,183,181,149,167,9999999
10609,11007,16,146,186,114,96,16
10609,20505,139,177,187,139,153,9999999
10609,20503,157,187,179,159,157,9999999
10609,20506,157,191,183,157,163,9999999
10609,20200,154,188,190,154,160,9999999
10609,10508,11,155,165,113,159,11
10609,21003,140,182,186,140,176,9999999
10609,20309,151,185,191,161,151,9999999
10609,20402,148,186,190,148,156,9999999
10609,20907,155,189,185,159,155,9999999
10609,20300,153,185,183,159,153,9999999
10609,20209,146,190,192,146,160,9999999
10609,10202,8,106,184,40,40,8
10609,10103,7,125,175,17,19,7
10609,20807,146,184,188,146,166,9999999
10609,20305,147,187,185,147,159,9999999
10609,20708,137,191,187,137,171,9999999
10609,10208,6,138,168,6,6,8
10609,20304,137,181,189,137,167,9999999
10609,10100,5,147,179,5,5,7
10609,10709,13,157,179,105,157,13
10609,10704,13,135,163,21,23,13
10609,2,154,190,180,156,154,9999999
10609,20409,156,180,194,156,156,9999999
10609,10806,14,146,180,108,146,14
10609,10701,13,151,179,15,15,13
10609,10803,14,166,154,16,18,14
10609,20808,136,180,194,136,166,9999999
10609,10703,13,139,165,93,77,13
10609,20803,144,190,190,156,144,9999999
10609,21001,154,190,192,154,164,9999999
10609,11004,16,164,176,44,44,16
10609,20103,157,187,185,157,157,9999999
10609,10909,15,151,179,105,129,15
10609,10306,9,133,151,21,11,9
10609,10603,12,114,174,18,18,12
10609,10604,12,150,158,110,138,12
10609,10303,9,157,181,113,151,9
10609,20902,159,189,193,159,169,9999999
10609,20100,157,189,189,159,157,9999999
10609,20404,144,178,190,144,154,9999999
10609,10801,14,136,186,56,56,14
10609,1,4,138,176,4,4,6
10609,10405,10,136,180,10,10,10
10609,20802,170,184,192,170,172,9999999
10609,10506,11,115,177,25,25,11
10609,10206,2,138,168,2,2,8
10609,10808,10,120,168,10,10,14
10609,20107,153,185,183,157,153,9999999
10609,20106,153,187,187,157,153,9999999
10609,20207,154,188,180,156,154,9999999
10609,20301,149,183,181,149,157,9999999
10609,20609,154,186,180,156,154,9999999
10609,10307,9,129,167,15,21,9
10609,10903,15,141,175,57,45,15
10609,11001,16,166,170,22,22,16
10609,10600,12,162,188,128,128,12
10609,20307,141,177,191,141,167,9999999
10609,20603,158,192,184,158,168,9999999
10609,10902,15,125,185,39,39,15
10609,20208,144,184,180,144,144,9999999
10609,20504,141,187,191,141,169,9999999
10609,10108,5,119,185,5,5,7
10609,20201,150,190,176,160,150,9999999
10609,10505,11,137,185,111,141,11
10609,21008,154,184,184,154,162,9999999
10609,20909,139,181,193,139,163,9999999
10609,20706,149,191,179,149,161,9999999
10609,10309,9,145,185,29,33,9
10609,20602,156,192,190,168,156,9999999
10609,10705,9,95,177,9,9,13
10609,20500,145,187,187,145,153,9999999
10609,11002,16,96,184,38,28,16
10609,20102,149,189,189,161,149,9999999
10609,20407,140,186,192,140,152,9999999
10609,20600,158,184,186,158,162,9999999
10609,20206,158,188,186,162,158,9999999
10609,20608,144,188,200,172,144,9999999
10609,20502,129,187,191,129,161,9999999
10609,10209,8,136,166,8,8,8
10609,10904,15,135,187,103,153,15
10609,10203,8,162,184,108,150,8
10609,11005,16,150,190,106,146,16
10609,10908,15,129,183,17,17,15
10609,20202,152,186,178,156,152,9999999
10609,10105,5,109,185,5,5,7
10609,10409,10,144,178,106,150,10
10609,10401,10,172,182,102,156,10
10609,10708,13,143,175,17,15,13
10609,10605,12,182,180,30,28,12
10609,20804,154,188,182,158,154,9999999
10609,10706,13,101,183,17,17,13
10609,10504,11,113,181,53,53,11
10609,10109,5,141,175,5,5,7
10609,10809,14,148,172,20,18,14
10609,10500,5,79,171,5,5,11
10907,20403,159,185,195,159,163,9999999
10907,20408,153,181,187,153,167,9999999
10907,10609,15,135,175,15,15,15
10907,10907,0,0,186,0,0,0
10907,20405,141,187,203,141,161,9999999
10907,20607,163,193,189,165,163,9999999
10907,10509,14,156,192,20,14,14
10907,20203,143,185,187,143,165,9999999
10907,21007,159,191,193,161,159,9999999
10907,20705,142,182,196,142,156,9999999
10907,10700,16,168,182,152,134,16
10907,10906,18,146,184,20,18,18
10907,10305,10,142,180,10,10,12
10907,20700,156,188,200,156,160,9999999
10907,20801,165,195,193,167,165,9999999
10907,10802,17,177,175,117,139,17
10907,10304,12,130,180,14,12,12
10907,10302,12,142,178,40,40,12
10907,20604,169,193,189,179,169,9999999
10907,20605,159,189,187,165,159,9999999
10907,20601,169,195,195,169,171,9999999
10907,10201,11,145,177,11,15,11
10907,20105,136,194,186,136,150,9999999
10907,10606,15,165,185,91,63,15
10907,10707,16,156,184,140,134,16
10907,21005,153,185,193,153,161,9999999
10907,10901,18,170,186,126,118,18
10907,20308,150,188,192,150,156,9999999
10907,21006,165,193,199,167,165,9999999
10907,21000,155,183,203,157,155,9999999
10907,10407,13,159,187,13,13,13
10907,20303,144,184,188,144,170,9999999
10907,20806,157,185,193,165,157,9999999
10907,20507,164,190,196,164,164,9999999
10907,20204,157,187,185,157,157,9999999
10907,10602,15,169,195,137,141,15
10907,10207,11,167,185,111,151,11
10907,10102,8,140,186,8,8,10
10907,10301,12,146,174,16,16,12
10907,20104,158,188,188,158,158,9999999
10907,10403,13,151,181,35,35,13
10907,20108,158,188,190,160,158,9999999
10907,10501,8,144,182,8,8,14
10907,10503,14,144,168,16,18,14
10907,20109,158,188,188,158,162,9999999
10907,11000,19,173,187,31,29,19
10907,10807,17,189,191,133,117,17
10907,20501,156,192,192,160,156,9999999
10907,20709,150,186,178,150,170,9999999
10907,11006,19,181,199,149,91,19
10907,11003,19,155,181,39,37,19
10907,10104,8,142,186,16,8,10
10907,20101,156,182,186,160,156,9999999
10907,10601,15,159,177,35,39,15
10907,10800,17,151,177,49,61,17
10907,20906,136,190,188,136,160,9999999
10907,20704,140,188,182,140,150,9999999
10907,20900,164,192,188,168,164,9999999
10907,20703,150,184,188,158,150,9999999
10907,10308,12,144,178,44,44,12
10907,20205,143,185,187,143,165,9999999
10907,20509,150,184,196,150,152,9999999
10907,10107,10,152,182,40,62,10
10907,20306,156,184,190,158,156,9999999
10907,10607,15,157,173,35,35,15
10907,10402,11,139,185,13,11,13
10907,20302,160,190,194,162,160,9999999
10907,20401,161,183,197,161,163,9999999
10907,20508,146,184,190,146,166,9999999
10907,10406,13,169,187,151,141,13
10907,20800,155,189,189,155,165,9999999
10907,20400,145,187,193,145,167,9999999
10907,10404,13,159,187,13,13,13
10907,10101,10,150,178,18,18,10
10907,20805,155,183,189,159,155,9999999
10907,10804,17,175,193,127,127,17
10907,11008,15,149,183,17,15,19
10907,10204,9,147,191,9,15,11
10907,20707,152,192,188,158,152,9999999
10907,20701,142,180,192,142,170,9999999
10907,20903,150,190,196,150,164,9999999
10907,10507,14,170,184,114,144,14
10907,21004,165,193,197,171,165,9999999
10907,20904,158,188,188,160,158,9999999
10907,10900,18,170,182,22,26,18
10907,20606,141,193,193,141,141,9999999
10907,10502,12,170,180,14,12,14
10907,20908,146,190,192,146,166,9999999
10907,10905,18,176,190,100,146,18
10907,10408,13,169,189,133,137,13
10907,20406,151,185,201,151,163,9999999
10907,10608,15,145,171,33,33,15
10907,10106,8,148,178,8,8,10
10907,10200,11,167,185,103,147,11
10907,10400,13,169,189,137,137,13
10907,20809,145,187,189,145,165,9999999
10907,20901,146,180,184,146,170,9999999
10907,10805,17,175,197,139,153,17
10907,21002,151,191,189,151,151,9999999
10907,20702,152,182,194,152,160,9999999
10907,10300,12,142,184,12,14,12
10907,10205,9,155,191,15,9,11
10907,10702,16,162,176,42,42,16
10907,20905,156,186,194,156,170,9999999
10907,11007,19,163,195,119,99,19
10907,20505,140,180,198,140,156,9999999
10907,20503,160,182,188,160,164,9999999
10907,20506,154,188,186,154,160,9999999
10907,20200,153,187,193,153,163,9999999
10907,10508,14,178,178,112,154,14
10907,21003,137,191,189,137,179,9999999
10907,20309,156,188,186,160,156,9999999
10907,20402,149,183,193,149,159,9999999
10907,20907,156,190,186,156,158,9999999
10907,20300,158,188,184,160,158,9999999
10907,20209,143,187,191,143,163,9999999
10907,10202,11,151,175,45,45,11
10907,10103,10,166,178,24,22,10
10907,20807,147,187,197,147,165,9999999
10907,20305,148,182,188,148,162,9999999
10907,20708,144,186,190,144,168,9999999
10907,10208,11,141,183,13,11,11
10907,20304,144,178,188,144,164,9999999
10907,10100,8,158,184,8,8,10
10907,10709,16,152,182,112,154,16
10907,10704,16,148,172,28,26,16
10907,2,157,187,185,157,157,9999999
10907,20409,155,185,197,155,155,9999999
10907,10806,17,155,183,101,149,17
10907,10701,16,148,192,16,16,16
10907,10803,17,171,171,19,21,17
10907,20808,143,185,193,143,173,9999999
10907,10703,16,146,168,94,76,16
